"Photon energy, eV",n,k
1.586676545,1.68,0
1.58347079,1.68,0
1.580278085,1.68,0
1.577098349,1.68,0
1.57393163,1.68,0
1.570777602,1.68,0
1.567636431,1.68,0
1.564507919,1.68,0
1.56139199,1.68,0
1.558288686,1.68,0
1.555197814,1.68,0
1.552119296,1.68,0
1.549052942,1.68,0
1.545999033,1.68,0
1.54295726,1.68,0
1.539927548,1.68,0
1.536909829,1.68,0
1.533904144,1.68,0
1.530910194,1.68,0
1.527928136,1.68,0
1.52495779,1.68,0
1.521999196,1.68,0
1.519052062,1.68,0
1.516116545,1.68,0
1.513192578,1.68,0
1.510279865,1.68,0
1.507378569,1.68,0
1.504488622,1.68,0
1.501609845,1.68,0
1.498742065,1.68,0
1.495885657,1.68,0
1.493040008,1.68,0
1.490205382,1.68,0
1.48738172,1.68,0
1.484568627,1.68,0
1.481766587,1.68,0
1.478975107,1.68,0
1.47619423,1.68,0
1.473424004,1.68,0
1.470664371,1.68,0
1.46791516,1.68,0
1.465176421,1.68,0
1.462447883,1.68,0
1.459729592,1.68,0
1.457021806,1.68,0
1.454323944,1.68,0
1.451636365,1.68,0
1.448958701,1.68,0
1.446290998,1.68,0
1.44363341,1.68,0
1.44098557,1.68,0
1.438347733,1.68,0
1.435719635,1.68,0
1.433101124,1.68,0
1.430492449,1.68,0
1.427893354,1.68,0
1.425303789,1.68,0
1.422723896,1.68,0
1.420153226,1.68,0
1.417592128,1.68,0
1.415040349,1.68,0
1.412497935,1.68,0
1.40996474,1.68,0
1.407440711,1.68,0
1.404925898,1.68,0
1.402420153,1.68,0
1.399923523,1.68,0
1.397435958,1.68,0
1.394957314,1.68,0
1.392487638,1.68,0
1.390026786,1.68,0
1.387574806,1.68,0
1.385131462,1.68,0
1.382696989,1.68,0
1.380271153,1.68,0
1.377854002,1.68,0
1.3754453,1.68,0
1.373045378,1.68,0
1.370653815,1.68,0
1.368270754,1.68,0
1.365896056,1.68,0
1.363529771,1.68,0
1.361171761,1.68,0
1.358822164,1.68,0
1.356480666,1.68,0
1.354147404,1.68,0
1.351822245,1.68,0
1.349505416,1.68,0
1.347196425,1.68,0
1.344895589,1.68,0
1.342602599,1.68,0
1.340317679,1.68,0
1.338040701,1.68,0
1.335771533,1.68,0
1.333510136,1.68,0
1.331256558,1.68,0
1.329010844,1.68,0
1.326772695,1.68,0
1.324542243,1.68,0
1.322319366,1.68,0
1.320104193,1.68,0
1.317896516,1.68,0
1.315696379,1.68,0
1.313503663,1.68,0
1.311318496,1.68,0
1.309140504,1.68,0
1.306970071,1.68,0
1.304806823,1.68,0
1.302651059,1.68,0
1.300502406,1.68,0
1.298360912,1.68,0
1.296226708,1.68,0
1.294099673,1.68,0
1.291979689,1.68,0
1.289866804,1.68,0
1.287760901,1.68,0
1.285662024,1.68,0
1.283570222,1.68,0
1.281485297,1.68,0
1.279407134,1.68,0
1.277336022,1.68,0
1.275271603,1.68,0
1.273214167,1.68,0
1.271163359,1.68,0
1.269119384,1.68,0
1.26708205,1.68,0
1.265051326,1.68,0
1.263027338,1.68,0
1.261009814,1.68,0
1.258999039,1.68,0
1.256994665,1.68,0
1.254996974,1.68,0
1.253005545,1.68,0
1.251020657,1.68,0
1.249042202,1.68,0
1.247070147,1.68,0
1.245104539,1.68,0
1.24314504,1.68,0
1.241191929,1.68,0
1.224811248,1.68,0
1.220616348,1.68,0
1.21645205,1.68,0
1.212317661,1.68,0
